Timestamp_023	Field_023	Sorb_023	Pot1k_023	PotHe3_023	Probe_Cx_023	TDO1_023	TDO2_023
114.004	17.46004	4.1338	0	0.277	0.7201	10660107.85	5273455.58
114.461	17.45769	4.1338	0	0.277	0.7201	10660395.95	5273203.463
114.916	17.45507	4.1338	0	0.277	0.7201	10660732.3	5272817.152
115.372	17.45305	4.1339	0	0.277	0.7201	10661117.76	5272464.207
115.829	17.45093	4.1338	0	0.277	0.7201	10661366.52	5272389.602
116.284	17.44847	4.1338	0	0.277	0.7201	10661766.42	5272155.533
116.739	17.4465	4.1338	0	0.277	0.72	10662129.35	5271915.915
117.195	17.44443	4.1338	0	0.277	0.72	10662502.69	5271715.529
117.508	17.44192	4.1338	0	0.277	0.72	10662781.8	5271198.573
118.108	17.43968	4.1338	0	0.2771	0.72	10663172.49	5271171.497
118.565	17.43728	4.1339	0	0.2771	0.72	10663498.57	5270839.58
119.02	17.43493	4.1339	0	0.2771	0.72	10663839.42	5270660.653
119.476	17.43259	4.1339	0	0.2771	0.72	10664105.95	5270166.811
119.932	17.43046	4.1339	0	0.2771	0.72	10664394.63	5269932.314
120.387	17.42822	4.1338	0	0.2771	0.7199	10664764.17	5269889.948
120.844	17.42576	4.1338	0	0.2771	0.7199	10665072.95	5269577.701
121.299	17.42347	4.1338	0	0.2771	0.7199	10665499.35	5269281.885
121.755	17.42145	4.1338	0	0.2771	0.7199	10665842.9	5268939.774
122.211	17.41905	4.1338	0	0.2771	0.7199	10666134.55	5268737.556
122.666	17.41665	4.1339	0	0.2771	0.7199	10666428.8	5268602.889
123.122	17.41441	4.1339	0	0.2771	0.7199	10666807.13	5268260.259
123.579	17.41233	4.1339	0	0.2772	0.7199	10667355.75	5267999.783
124.091	17.409	4.1339	0	0.2772	0.7198	10667578.01	5267500.319
124.716	17.40671	4.1339	0	0.2772	0.7198	10668131.05	5267234.739
125.401	17.40311	4.1338	0	0.2772	0.7198	10668438.35	5267046.356
125.856	17.40098	4.1338	0	0.2772	0.7198	10668787.71	5266633.593
126.313	17.39869	4.1339	0	0.2772	0.7198	10669123.9	5266358.318
126.768	17.39585	4.1339	0	0.2772	0.7198	10669671.2	5266147.406
127.45	17.39296	4.1339	0	0.2772	0.7198	10670196.82	5265697.618
128.134	17.38957	4.1338	0	0.2772	0.7197	10670611.5	5265373.608
128.59	17.38712	4.1338	0	0.2772	0.7197	10670852.25	5265116.806
129.047	17.38461	4.1338	0	0.2772	0.7197	10671209.31	5265021.305
129.503	17.38237	4.1338	0	0.2772	0.7197	10671534.89	5264846.182
129.79	17.38046	4.1338	0	0.2773	0.7197	10671869.85	5264428.08
130.413	17.37827	4.1339	0	0.2773	0.7197	10672373.57	5264078.571
130.906	17.37489	4.1339	0	0.2773	0.7197	10672705.7	5263867.719
131.551	17.37238	4.1339	0	0.2773	0.7196	10673216.5	5263590.458
132.067	17.36927	4.1338	0	0.2773	0.7196	10673576.93	5263093.871
132.69	17.3667	4.1338	0	0.2773	0.7196	10673912.17	5262806.187
133.146	17.3643	4.1338	0	0.2773	0.7196	10674183.47	5262736.567
133.602	17.36217	4.1338	0	0.2773	0.7196	10674537.58	5262429.089
134.058	17.35977	4.1339	0	0.2773	0.7196	10675052.32	5262028.49
134.742	17.35617	4.1339	0	0.2773	0.7196	10675401.82	5261606.78
135.197	17.35377	4.1339	0	0.2773	0.7196	10675664.12	5261624.154
135.653	17.3518	4.1339	0	0.2773	0.7195	10676080.9	5261280.133
136.11	17.34967	4.1339	0	0.2773	0.7195	10676532.52	5261029.774
136.615	17.34651	4.1339	0	0.2774	0.7195	10676763.1	5260562.269
137.247	17.34389	4.1339	0	0.2774	0.7195	10677282.12	5260380.936
